region,branch_name,address,email,phone,pastor,status,latitude,longitude,year_founded,photo_url
ASHANTI,FOASE BRANCH,KUMASI FOASE,missions.admin@perezchapel.org,024-350-0626,Elder Kingsford,growing,6.6369178,-1.7552714,1987,photos/PATASI.JPG
ASHANTI,EJURA BRANCH ,EJURA,missions.admin@perezchapel.org,024-350-0626,Ps Desmond Ahorsu,active,7.3724471,-1.3669435,1987,photos/EJURA.JPG
ASHANTI,OFFINSO,"KUMASI, OFFINSO",missions.admin@perezchapel.org,024-350-0626,Elder Gideon Kwarteng,growing,6.9387268,-1.6757925,1987,photos/OFFINSO.JPG
ASHANTI,OFFINSO ,OFFINSO ,missions.admin@perezchapel.org,024-350-0626,Elder Gideon Kwarteng,growing,6.90938,-1.6794844,1987,photos/OFFINSO.JPG
ASHANTI,ADARKO JACHIE LAND,ADARKO JACHIE ,missions.admin@perezchapel.org,024-350-0626,Land,growing,6.7275319,-1.4987687,1987,photos/ADARKO JARCHI.JPG
ASHANTI,OBUASI KONKA,OBUASI,missions.admin@perezchapel.org,024-350-0626,Ps. Patrick Osom,active,6.210664,-1.6888012,1987,photos/OBUASI_KONKA.JPG
ASHANTI,KONONGO BRANCH,KONONGO,missions.admin@perezchapel.org,024-350-0626,Rev. Benjamin Quarshie,active,6.627644,-1.2141823,1987,photos/KONONGO.JPG
ASHANTI,OBUASI TUTUKA,OBUASI TUTUKA,missions.admin@perezchapel.org,024-350-0626,Rev. Atubiga,active,6.1895688,-1.6512938,1987,photos/OBUASI_TUTUKA.JPG
ASHANTI,KONONGO BRANCH,KUMASI KONONGO,missions.admin@perezchapel.org,024-350-0626,Rev. Benjamin Kwaku Kwakye,active,6.6275787,-1.2141158,1987,photos/KONONGO.JPG
ASHANTI,PATASI BRANCH,KUMASI OHWENASI,missions.admin@perezchapel.org,024-350-0626,Rev. Edward Makarious,active,6.6881025,-1.6669101,1987,photos/OHWIMASAE.JPG
ASHANTI,AGOGO ABUAKWA LAND,AGOGO ABUAKWA,missions.admin@perezchapel.org,024-350-0626,Rev. Honour,growing,6.6812431,-1.7519239,1987,photos/AGOGO ABUAKWA.JPG
ASHANTI,ABUAKWA ,KUMASI PATASI,missions.admin@perezchapel.org,024-350-0626,Rev. Issac Honour ,active,6.6896245,-1.7060208,1987,photos/ABUAKWA.JPG
ASHANTI,MAMPONG BRANCH ,MAMPONG,missions.admin@perezchapel.org,024-350-0626,Rev. Noah Arhinful,growing,7.0828207,-1.4114676,1987,photos/MAMPONG LAND.JPG
